id,bank_code,bank_name,short_name,swift_code,created_at
1,B000,"Valdez, Neal and Green Bank",BK0,SWFT00000,2025-04-05 14:24:49.661614
2,B001,Snyder-Nixon Bank,BK1,SWFT00001,2025-04-05 14:24:49.661614
3,B002,"Reed, Tran and Martinez Bank",BK2,SWFT00002,2025-04-05 14:24:49.661614
4,B003,"Rodriguez, Robinson and Vargas Bank",BK3,SWFT00003,2025-04-05 14:24:49.661614
5,B004,Baker-Mcconnell Bank,BK4,SWFT00004,2025-04-05 14:24:49.661614
6,B005,Mcgee and Sons Bank,BK5,SWFT00005,2025-04-05 14:24:49.661614
7,B006,Smith Ltd Bank,BK6,SWFT00006,2025-04-05 14:24:49.661614
8,B007,Liu Ltd Bank,BK7,SWFT00007,2025-04-05 14:24:49.661614
9,B008,Hurst and Sons Bank,BK8,SWFT00008,2025-04-05 14:24:49.661614
10,B009,"Fox, Berger and Russell Bank",BK9,SWFT00009,2025-04-05 14:24:49.661614
11,B010,House-Bowen Bank,BK10,SWFT00010,2025-04-05 14:24:49.661614
12,B011,"Perez, Solomon and Diaz Bank",BK11,SWFT00011,2025-04-05 14:24:49.661614
13,B012,"Burch, Woods and Fuentes Bank",BK12,SWFT00012,2025-04-05 14:24:49.661614
14,B013,Martin-Williams Bank,BK13,SWFT00013,2025-04-05 14:24:49.661614
15,B014,Green Inc Bank,BK14,SWFT00014,2025-04-05 14:24:49.661614
16,B015,Wade-Walker Bank,BK15,SWFT00015,2025-04-05 14:24:49.661614
17,B016,Brown-Fernandez Bank,BK16,SWFT00016,2025-04-05 14:24:49.661614
18,B017,Strong-Moore Bank,BK17,SWFT00017,2025-04-05 14:24:49.661614
19,B018,Foster-Simmons Bank,BK18,SWFT00018,2025-04-05 14:24:49.661614
20,B019,"Henry, Doyle and Baker Bank",BK19,SWFT00019,2025-04-05 14:24:49.661614
21,B020,Wilson Inc Bank,BK20,SWFT00020,2025-04-05 14:24:49.661614
22,B021,Carter LLC Bank,BK21,SWFT00021,2025-04-05 14:24:49.661614
23,B022,Elliott LLC Bank,BK22,SWFT00022,2025-04-05 14:24:49.661614
24,B023,Harvey and Sons Bank,BK23,SWFT00023,2025-04-05 14:24:49.661614
25,B024,Escobar-Carlson Bank,BK24,SWFT00024,2025-04-05 14:24:49.661614
26,B025,Craig-Rangel Bank,BK25,SWFT00025,2025-04-05 14:24:49.661614
27,B026,Thompson-Merritt Bank,BK26,SWFT00026,2025-04-05 14:24:49.661614
28,B027,Jimenez Group Bank,BK27,SWFT00027,2025-04-05 14:24:49.661614
29,B028,Marquez Ltd Bank,BK28,SWFT00028,2025-04-05 14:24:49.661614
30,B029,Hunt PLC Bank,BK29,SWFT00029,2025-04-05 14:24:49.661614
31,B030,"Harper, Perez and Castillo Bank",BK30,SWFT00030,2025-04-05 14:24:49.661614
32,B031,"Bennett, Kelly and Miller Bank",BK31,SWFT00031,2025-04-05 14:24:49.661614
33,B032,"Odom, Gaines and White Bank",BK32,SWFT00032,2025-04-05 14:24:49.661614
34,B033,"Castillo, Silva and Cooper Bank",BK33,SWFT00033,2025-04-05 14:24:49.661614
35,B034,Logan Ltd Bank,BK34,SWFT00034,2025-04-05 14:24:49.661614
36,B035,Huerta-Miller Bank,BK35,SWFT00035,2025-04-05 14:24:49.661614
37,B036,White Inc Bank,BK36,SWFT00036,2025-04-05 14:24:49.661614
38,B037,"Johnston, Day and Krause Bank",BK37,SWFT00037,2025-04-05 14:24:49.661614
39,B038,Hammond LLC Bank,BK38,SWFT00038,2025-04-05 14:24:49.661614
40,B039,Byrd-Hayes Bank,BK39,SWFT00039,2025-04-05 14:24:49.661614
41,B040,"Shields, Jenkins and Lee Bank",BK40,SWFT00040,2025-04-05 14:24:49.661614
42,B041,Parsons-Rodriguez Bank,BK41,SWFT00041,2025-04-05 14:24:49.661614
43,B042,Rice Ltd Bank,BK42,SWFT00042,2025-04-05 14:24:49.661614
44,B043,"Bright, Boyd and Jackson Bank",BK43,SWFT00043,2025-04-05 14:24:49.661614
45,B044,"Alvarez, Rojas and Lee Bank",BK44,SWFT00044,2025-04-05 14:24:49.661614
46,B045,"Smith, Patterson and Juarez Bank",BK45,SWFT00045,2025-04-05 14:24:49.661614
47,B046,Terry-Bradford Bank,BK46,SWFT00046,2025-04-05 14:24:49.661614
48,B047,Larsen-Pollard Bank,BK47,SWFT00047,2025-04-05 14:24:49.661614
49,B048,Cunningham Ltd Bank,BK48,SWFT00048,2025-04-05 14:24:49.661614
50,B049,White PLC Bank,BK49,SWFT00049,2025-04-05 14:24:49.661614
51,B050,"Russell, Miller and Livingston Bank",BK50,SWFT00050,2025-04-05 14:24:49.661614
52,B051,Williams PLC Bank,BK51,SWFT00051,2025-04-05 14:24:49.661614
53,B052,Velez Inc Bank,BK52,SWFT00052,2025-04-05 14:24:49.661614
54,B053,Simmons-Meyer Bank,BK53,SWFT00053,2025-04-05 14:24:49.661614
55,B054,Horton-Moore Bank,BK54,SWFT00054,2025-04-05 14:24:49.661614
56,B055,"Jones, Becker and Davis Bank",BK55,SWFT00055,2025-04-05 14:24:49.661614
57,B056,Lyons-Chen Bank,BK56,SWFT00056,2025-04-05 14:24:49.661614
58,B057,Jackson-Silva Bank,BK57,SWFT00057,2025-04-05 14:24:49.661614
59,B058,Sherman-Robinson Bank,BK58,SWFT00058,2025-04-05 14:24:49.661614
60,B059,Osborn Inc Bank,BK59,SWFT00059,2025-04-05 14:24:49.661614
61,B060,Lopez-Whitehead Bank,BK60,SWFT00060,2025-04-05 14:24:49.661614
62,B061,Howard Ltd Bank,BK61,SWFT00061,2025-04-05 14:24:49.661614
63,B062,Spencer Inc Bank,BK62,SWFT00062,2025-04-05 14:24:49.661614
64,B063,Lara-Tyler Bank,BK63,SWFT00063,2025-04-05 14:24:49.661614
65,B064,"Ramirez, Gomez and Vazquez Bank",BK64,SWFT00064,2025-04-05 14:24:49.661614
66,B065,Wilson-Powell Bank,BK65,SWFT00065,2025-04-05 14:24:49.661614
67,B066,Adams-Jenkins Bank,BK66,SWFT00066,2025-04-05 14:24:49.661614
68,B067,"Davies, Malone and Robinson Bank",BK67,SWFT00067,2025-04-05 14:24:49.661614
69,B068,Hall Group Bank,BK68,SWFT00068,2025-04-05 14:24:49.661614
70,B069,"Wright, Murphy and Atkinson Bank",BK69,SWFT00069,2025-04-05 14:24:49.661614
71,B070,Fitzgerald Group Bank,BK70,SWFT00070,2025-04-05 14:24:49.661614
72,B071,"Olson, Jones and Bennett Bank",BK71,SWFT00071,2025-04-05 14:24:49.661614
73,B072,Daniel Group Bank,BK72,SWFT00072,2025-04-05 14:24:49.661614
74,B073,"Craig, Miller and Robbins Bank",BK73,SWFT00073,2025-04-05 14:24:49.661614
75,B074,"Farmer, Fields and Cole Bank",BK74,SWFT00074,2025-04-05 14:24:49.661614
76,B075,Burnett-Jones Bank,BK75,SWFT00075,2025-04-05 14:24:49.661614
77,B076,"Hines, Stone and Jarvis Bank",BK76,SWFT00076,2025-04-05 14:24:49.661614
78,B077,Ray-Barron Bank,BK77,SWFT00077,2025-04-05 14:24:49.661614
79,B078,Miller-Wood Bank,BK78,SWFT00078,2025-04-05 14:24:49.661614
80,B079,Stewart LLC Bank,BK79,SWFT00079,2025-04-05 14:24:49.661614
81,B080,"Lewis, Newton and Johns Bank",BK80,SWFT00080,2025-04-05 14:24:49.661614
82,B081,Reid Ltd Bank,BK81,SWFT00081,2025-04-05 14:24:49.661614
83,B082,Byrd-Moore Bank,BK82,SWFT00082,2025-04-05 14:24:49.661614
84,B083,Hall-Mendoza Bank,BK83,SWFT00083,2025-04-05 14:24:49.661614
85,B084,Pineda Inc Bank,BK84,SWFT00084,2025-04-05 14:24:49.661614
86,B085,Wallace and Sons Bank,BK85,SWFT00085,2025-04-05 14:24:49.661614
87,B086,Morgan Inc Bank,BK86,SWFT00086,2025-04-05 14:24:49.661614
88,B087,Rice-Harrison Bank,BK87,SWFT00087,2025-04-05 14:24:49.661614
89,B088,Pearson Group Bank,BK88,SWFT00088,2025-04-05 14:24:49.661614
90,B089,Matthews-Bailey Bank,BK89,SWFT00089,2025-04-05 14:24:49.661614
91,B090,"Clements, Fitzgerald and Turner Bank",BK90,SWFT00090,2025-04-05 14:24:49.661614
92,B091,Jones PLC Bank,BK91,SWFT00091,2025-04-05 14:24:49.661614
93,B092,Berry-Rosales Bank,BK92,SWFT00092,2025-04-05 14:24:49.661614
94,B093,Garcia-Harris Bank,BK93,SWFT00093,2025-04-05 14:24:49.661614
95,B094,Cummings-Thompson Bank,BK94,SWFT00094,2025-04-05 14:24:49.661614
96,B095,Hughes Group Bank,BK95,SWFT00095,2025-04-05 14:24:49.661614
97,B096,Davis-Curry Bank,BK96,SWFT00096,2025-04-05 14:24:49.661614
98,B097,Page-Andrade Bank,BK97,SWFT00097,2025-04-05 14:24:49.661614
99,B098,"Guzman, Figueroa and Williams Bank",BK98,SWFT00098,2025-04-05 14:24:49.661614
100,B099,"Carlson, Clark and Stone Bank",BK99,SWFT00099,2025-04-05 14:24:49.661614
